INDEX,ZHATNUM,ZHATLABEL,STATE,PARTY,FIRSTNAME,LASTNAME,SERVEDCONG,INCORCOMPRACE,MEAN,SD,CFSCORE,CFSCORE.DYN,DWNOM.COMMON,DWNOM112.COMMON,DWNOM112_BSE.COMMON,NAIVEMEAN,NAIVEMEAN.all,LABEL,LABEL2
1,zhat[1],libcon.Obama,,D,Barack,Obama,1,0,-0.9001734,0.000171832,,,,,,,-1.87936412,President Obama,President Obama
2,zhat[2],libcon.DemParty,,D,,Democratic Party,0,0,-0.8573941,0.00267595,,,,,,,-1.82355318,Democratic Party,Democratic Party
3,zhat[3],libcon.RepParty,,R,,Republican Party,0,0,0.9001798,0.000184984,,,,,,,1.578889,Republican Party,Republican Party
4,zhat[4],libcon.TeaParty,,R,,Tea Party,0,0,1.1234295,0.006251418,,,,,,,2.21003717,Tea Party,Tea Party
5,zhat[5],AK.D,AK,D,Scott,McAdams,0,0,-0.6272757,0.032723304,-1.633072189,-1.559376346,,,,-1.40145985,-1.40145985,McAdams (D-AK),McAdams (D-AK)
6,zhat[6],AL.D,AL,D,William,Barnes,0,0,0.3813149,0.088235686,-1.23331268,-1.170711856,,,,0.39622642,0.39622642,Barnes (D-AL),Barnes (D-AL)
7,zhat[7],AR.D,AR,D,Blanche,Lincoln,1,1,-0.6406408,0.031876572,-0.524707383,-0.401985846,-0.183,-0.183,0.008,-1.34715026,-1.34715026,Lincoln (D-AR),Lincoln (D-AR)
8,zhat[8],AZ.D,AZ,D,Rodney,Glassman,0,0,-0.5680345,0.049288839,-0.808547667,-0.757735871,,,,-1.05882353,-1.05882353,Glassman (D-AZ),Glassman (D-AZ)
9,zhat[9],CA.D,CA,D,Barbara,Boxer,1,1,-0.924892,0.021347707,-1.294602048,-1.356590497,-0.485,-0.484,0.029,-1.68508287,-1.68508287,Boxer (D-CA),Boxer (D-CA)
10,zhat[10],CO.D,CO,D,Michael,Bennet,1,1,-0.8033117,0.020161294,-1.182000096,-1.127541563,-0.247,-0.241,0.036,-1.61111111,-1.61111111,Bennet (D-CO),Bennet (D-CO)
11,zhat[11],CT.D,CT,D,Richard,Blumenthal,0,1,-0.7812686,0.022989035,-1.035223984,-1.022411873,-0.426,-0.391,0.054,-1.59677419,-1.59677419,Blumenthal (D-CT),Blumenthal (D-CT)
12,zhat[12],DE.D,DE,D,Christopher,Coons,0,0,-0.7067244,0.027970243,-1.202746563,-1.163069268,-0.324,-0.35,0.059,-1.37647059,-1.37647059,Coons (D-DE),Coons (D-DE)
13,zhat[13],FL.D,FL,D,Kendrick,Meek,1,1,-0.7590166,0.026554271,-0.874130961,-0.814373563,-0.378,-0.378,0.016,-1.56213018,-1.56213018,Meek (D-FL),Meek (D-FL)
14,zhat[14],GA.D,GA,D,Michael,Thurmond,0,0,-0.5609962,0.052333697,-0.591650578,-0.549276408,,,,-0.99056604,-0.99056604,Thurmond (D-GA),Thurmond (D-GA)
15,zhat[15],HI.D,HI,D,Daniel,Inouye,1,1,-0.8832306,0.014160532,-0.556739405,-0.562507616,-0.33,,,-1.5698324,-1.5698324,Inouye (D-HI),Inouye (D-HI)
16,zhat[16],IA.D,IA,D,Roxanne,Conlin,0,0,-0.7228348,0.030202783,-1.249754326,-1.186697177,,,,-1.71895425,-1.71895425,Conlin (D-IA),Conlin (D-IA)
17,zhat[17],ID.D,ID,D,Tom,Sullivan,0,0,0.1021479,0.115619124,-1.426526973,-1.358563635,,,,-0.12,-0.12,Sullivan (D-ID),Sullivan (D-ID)
18,zhat[18],IL.D,IL,D,Alexi,Giannoulias,0,1,-0.8359243,0.020825942,-1.215089384,-1.188881798,,,,-1.69461078,-1.69461078,Giannoulias (D-IL),Giannoulias (D-IL)
19,zhat[19],IN.D,IN,D,Brad,Ellsworth,1,1,-0.3592027,0.042837372,-0.73448478,-0.741504295,-0.131,-0.126,0.013,-0.80714286,-0.80714286,Ellsworth (D-IN),Ellsworth (D-IN)
20,zhat[20],KS.D,KS,D,Lisa,Johnston,0,0,-0.2306762,0.079729188,-1.34686521,-1.281112823,,,,-0.3943662,-0.3943662,Johnston (D-KS),Johnston (D-KS)
21,zhat[21],KY.D,KY,D,Jack,Conway,0,1,-0.6408183,0.030174801,-1.11242254,-1.055669287,,,,-1.34337349,-1.34337349,Conway (D-KY),Conway (D-KY)
22,zhat[22],LA.D,LA,D,Charlie,Melancon,1,1,-0.5994266,0.027528162,-0.327576094,-0.422516468,-0.179,-0.189,0.013,-1.47619048,-1.47619048,Melancon (D-LA),Melancon (D-LA)
23,zhat[23],MD.D,MD,D,Barbara,Mikulski,1,1,-0.8990044,0.021216872,-0.801473393,-0.723632265,-0.395,,,-1.47457627,-1.47457627,Mikulski (D-MD),Mikulski (D-MD)
24,zhat[24],MO.D,MO,D,Robin,Carnahan,0,1,-0.7794716,0.019643275,-1.266589732,-1.203265387,,,,-1.45505618,-1.45505618,Carnahan (D-MO),Carnahan (D-MO)
25,zhat[25],NC.D,NC,D,Elaine,Marshall,0,0,-0.5976276,0.036117523,-1.007170259,-1.107838023,,,,-1,-1,Marshall (D-NC),Marshall (D-NC)
26,zhat[26],ND.D,ND,D,Tracy,Potter,0,0,-0.6694835,0.035310978,-1.128748194,-1.127355417,,,,-1.45098039,-1.45098039,Potter (D-ND),Potter (D-ND)
27,zhat[27],NH.D,NH,D,Paul,Hodes,0,1,-0.8450963,0.022317151,-1.346696886,-1.301290778,,,,-1.71698113,-1.71698113,Hodes (D-NH),Hodes (D-NH)
28,zhat[28],NV.D,NV,D,Harry,Reid,1,1,-0.8731029,0.01487126,-0.663596438,-0.833816704,-0.299,,,-1.81538462,-1.81538462,Reid (D-NV),Reid (D-NV)
29,zhat[29],NY.D,NY,D,Charles,Schumer,1,1,-0.8577115,0.026570035,-0.677861573,-0.679750607,-0.372,,,-1.65053763,-1.65053763,Schumer (D-NY),Schumer (D-NY)
30,zhat[30],OH.D,OH,D,Lee,Fisher,0,1,-0.7432834,0.027369962,-0.64595327,-0.756046289,,,,-1.3877551,-1.3877551,Fisher (D-OH),Fisher (D-OH)
31,zhat[31],OK.D,OK,D,Jim,Rogers,0,0,0.1179742,0.094317727,,,,,,0.09589041,0.09589041,Rogers (D-OK),Rogers (D-OK)
32,zhat[32],OR.D,OR,D,Ron,Wyden,1,1,-0.8427801,0.026818595,-0.616985474,-0.601524927,-0.334,,,-1.69945355,-1.69945355,Wyden (D-OR),Wyden (D-OR)
33,zhat[33],PA.D,PA,D,Joe,Sestak,1,1,-0.7084218,0.028034643,-1.379922851,-1.359723788,-0.281,,,-1.70552147,-1.70552147,Sestak (D-PA),Sestak (D-PA)
34,zhat[34],SC.D,SC,D,Alvin,Greene,0,0,-0.6128628,0.051022617,,,,,,-1.6,-1.6,Greene (D-SC),Greene (D-SC)
35,zhat[35],UT.D,UT,D,Sam,Granato,0,0,-0.1257397,0.066513291,-0.746967834,-0.690800072,,,,-0.42727273,-0.42727273,Granato (D-UT),Granato (D-UT)
36,zhat[36],VT.D,VT,D,Patrick,Leahy,1,1,-0.9620763,0.026155051,-0.9312987,-1.125262481,-0.394,,,-1.50531915,-1.50531915,Leahy (D-VT),Leahy (D-VT)
37,zhat[37],WA.D,WA,D,Patty,Murray,1,1,-0.9031372,0.016417575,-1.180004674,-1.226946685,-0.376,,,-1.89361702,-1.89361702,Murray (D-WA),Murray (D-WA)
38,zhat[38],WI.D,WI,D,Russ,Feingold,1,1,-0.8624453,0.021068404,-1.466709639,-1.53928867,-0.428,,,-1.96174863,-1.96174863,Feingold (D-WI),Feingold (D-WI)
39,zhat[39],WV.D,WV,D,Joe,Manchin,0,1,-0.5110688,0.037899387,-0.189098724,-0.230672927,-0.107,,,-0.77900552,-0.77900552,Manchin (D-WV),Manchin (D-WV)
