state,statename,alphamean,meanobamaplace,obama08
AK,alaska,-0.262668339,-2.170854271,38
AL,alabama,-0.265304308,-2.055,39
AR,arkansas,-0.313392865,-2.02020202,39
AZ,arizona,-0.219562257,-2.075,45
CA,california,0.102931056,-1.427135678,61
CO,colorado,-0.043617192,-1.874371859,54
CT,connecticut,0.010143887,-1.76,61
DE,deleware,-0.021526927,-1.59,62
FL,florida,-0.081755172,-1.87,51
GA,georgia,-0.015029575,-1.743718593,47
HI,hawaii,0.113844909,-1.53030303,72
IA,iowa,-0.233546406,-2.105527638,54
ID,idaho,-0.254187704,-2.035175879,36
IL,illinois,-0.013406081,-1.64,62
IN,indiana,-0.171906487,-2.020100503,50
KS,kansas,-0.216390936,-1.915,41
KY,kentucky,-0.105607269,-1.923469388,41
LA,louisiana,-0.302058364,-2.145,40
MA,massachusetts,-0.009121032,-1.889447236,62
MD,maryland,0.107157606,-1.449494949,62
ME,maine,-0.193813504,-1.87,58
MI,michigan,0.026065827,-1.824120603,57
MN,minnesota,-0.122233956,-1.895,54
MO,missouri,-0.146472504,-1.855,49
MS,mississippi,-0.249288671,-1.979899497,43
MT,montana,-0.165153265,-2.091370558,47
NC,north carolina,-0.088213779,-1.834170854,50
ND,north dakota,-0.146702926,-1.975,45
NE,nebraska,-0.099657563,-1.848484848,42
NH,new hampshire,-0.120314609,-1.955,54
NJ,new jersey,-0.027645807,-1.829145729,57
NM,new mexico,-0.003851207,-1.733668342,57
NV,nevada,-0.137977404,-1.821428571,55
NY,new york,-0.027593406,-1.693467337,62
OH,ohio,-0.128054723,-1.869346734,51
OK,oklahoma,-0.267686043,-2.166666667,34
OR,oregon,-0.014925686,-1.845,57
PA,pennsylvania,-0.213061446,-2.045454545,55
RI,rhode island,0.038897175,-1.609137056,63
SC,south carolina,-0.143410761,-1.994974874,45
SD,south dakota,-0.45376374,-2.25,45
TN,tennessee,-0.177257695,-1.943877551,42
TX,texas,-0.113093331,-1.849246231,44
UT,utah,-0.241965739,-2.030612245,35
VA,virginia,-0.130754239,-2.010050251,53
VT,vermont,0.307160352,-1.315,68
WA,washington,-0.004266966,-1.849246231,58
WI,wisconsin,-0.17948798,-1.979899497,56
WV,west virginia,-0.083591526,-1.856410256,43
WY,wyoming,-0.070324919,-1.909090909,33
